EPREUVE,FORMAT_EPREUVE,RANG,NOM_PRENOM,ANNEE_NAISSANCE,NATIONALITE,GENRE,STRUCTURE,TEMPS,DATE_FR,POINTS_FFN,POINTS_FINA
50 Dos Dames,1/2 Finale (1),3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:30.34,22/01/2022,1168,703
50 Dos Dames,1/2 Finale (1),3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:30.34,22/01/2022,1168,703
50 Dos Dames,1/2 Finale (1),4,PRUVOT Mathilde,2005,FRA,F,AMIENS METROPOLE NAT.,00:31.31,22/01/2022,1115,640
50 Dos Dames,1/2 Finale (1),6,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,00:32.79,22/01/2022,1035,557
50 Dos Dames,1/2 Finale (1),9,LANIER Suzanne,2005,FRA,F,SC ABBEVILLOIS NATATION TRIATHLON,00:33.63,22/01/2022,991,516
50 Dos Dames,1/2 Finale (1),10,MUYLLE Cloé,2005,FRA,F,MARCQ NATATION,00:33.84,22/01/2022,980,507
50 Dos Dames,1/2 Finale (2),1,MOLUH Mary-Ambre,2005,FRA,F,U.S CRETEIL NATATION,00:28.16,22/01/2022,1294,879
50 Dos Dames,1/2 Finale (2),2,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,00:30.03,22/01/2022,1186,725
50 Dos Dames,1/2 Finale (2),5,DUROT Lea,2003,FRA,F,CN COURRIÈRES,00:32.33,22/01/2022,1059,581
50 Dos Dames,1/2 Finale (2),7,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:32.86,22/01/2022,1031,554
50 Dos Dames,1/2 Finale (2),8,TOUDICK Solene,2005,FRA,F,AMIENS METROPOLE NAT.,00:33.03,22/01/2022,1022,545
50 Dos Dames,Séries,1,MOLUH Mary-Ambre,2005,FRA,F,U.S CRETEIL NATATION,00:28.23,22/01/2022,1290,873
50 Dos Dames,Séries,2,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,00:28.87,22/01/2022,1252,816
50 Dos Dames,Séries,3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:30.07,22/01/2022,1183,722
50 Dos Dames,Séries,3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:30.07,22/01/2022,1183,722
50 Dos Dames,Séries,4,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,00:30.53,22/01/2022,1158,690
50 Dos Dames,Séries,5,PRUVOT Mathilde,2005,FRA,F,AMIENS METROPOLE NAT.,00:31.33,22/01/2022,1113,639
50 Dos Dames,Séries,6,DUROT Lea,2003,FRA,F,CN COURRIÈRES,00:32.50,22/01/2022,1050,572
50 Dos Dames,Séries,7,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,00:32.72,22/01/2022,1039,561
50 Dos Dames,Séries,8,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:32.75,22/01/2022,1037,559
50 Dos Dames,Séries,9,LANIER Suzanne,2005,FRA,F,SC ABBEVILLOIS NATATION TRIATHLON,00:33.45,22/01/2022,1000,525
50 Dos Dames,Séries,10,TOUDICK Solene,2005,FRA,F,AMIENS METROPOLE NAT.,00:33.73,22/01/2022,986,512
50 Dos Dames,Séries,11,MUYLLE Cloé,2005,FRA,F,MARCQ NATATION,00:34.03,22/01/2022,971,498
100 Dos Dames,Finale A,1,MOLUH Mary-Ambre,2005,FRA,F,U.S CRETEIL NATATION,01:00.04,21/01/2022,1299,189
100 Dos Dames,Finale A,1,DENIS SMETT Valentine,2006,FRA,F,STADE DE REIMS NATATION,01:12.67,21/01/2022,960,133
100 Dos Dames,Finale A,2,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,01:00.60,21/01/2022,1283,186
100 Dos Dames,Finale A,3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,01:05.53,21/01/2022,1146,161
100 Dos Dames,Finale A,3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,01:05.53,21/01/2022,1146,161
100 Dos Dames,Finale A,4,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,01:06.51,21/01/2022,1119,157
100 Dos Dames,Finale A,5,DUROT Lea,2003,FRA,F,CN COURRIÈRES,01:10.67,21/01/2022,1010,140
100 Dos Dames,Finale A,6,TOUDICK Solene,2005,FRA,F,AMIENS METROPOLE NAT.,01:12.56,21/01/2022,963,133
100 Dos Dames,Finale A,7,COLINCHARD Sarah,2008,FRA,F,SOISSONS NATATION SPORTIVE,01:13.62,21/01/2022,937,129
100 Dos Dames,Finale A,8,FRANCOIS Clémence,2003,FRA,F,AAS SARCELLES NATATION 95,01:15.56,21/01/2022,890,123
100 Dos Dames,Séries,1,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,01:01.39,21/01/2022,1261,182
100 Dos Dames,Séries,2,MOLUH Mary-Ambre,2005,FRA,F,U.S CRETEIL NATATION,01:01.53,21/01/2022,1257,181
100 Dos Dames,Séries,3,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,01:05.96,21/01/2022,1134,159
100 Dos Dames,Séries,4,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,01:06.48,21/01/2022,1120,157
100 Dos Dames,Séries,4,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,01:06.48,21/01/2022,1120,157
100 Dos Dames,Séries,5,GREGOIRE Marion,2003,BEL,F,DENAIN NAT. PORTE DU HAINAUT,01:10.89,21/01/2022,1005,139
100 Dos Dames,Séries,6,DUROT Lea,2003,FRA,F,CN COURRIÈRES,01:11.90,21/01/2022,979,135
100 Dos Dames,Séries,7,TOUDICK Solene,2005,FRA,F,AMIENS METROPOLE NAT.,01:12.29,21/01/2022,970,134
100 Dos Dames,Séries,8,COLINCHARD Sarah,2008,FRA,F,SOISSONS NATATION SPORTIVE,01:12.59,21/01/2022,962,133
100 Dos Dames,Séries,9,FRANCOIS Clémence,2003,FRA,F,AAS SARCELLES NATATION 95,01:14.33,21/01/2022,919,127
100 Dos Dames,Séries,10,DENIS SMETT Valentine,2006,FRA,F,STADE DE REIMS NATATION,01:14.43,21/01/2022,917,127
200 Dos Dames,Finale A,1,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,02:12.62,23/01/2022,1251,875
200 Dos Dames,Finale A,2,DOBRIN Alexandra,1993,ROU,F,DENAIN NAT. PORTE DU HAINAUT,02:20.28,23/01/2022,1144,787
200 Dos Dames,Finale A,3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:25.54,23/01/2022,1074,733
200 Dos Dames,Finale A,3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:25.54,23/01/2022,1074,733
200 Dos Dames,Finale A,4,BIENFAIT Victorine,2007,FRA,F,RACING CLUB ARRAS,02:36.18,23/01/2022,938,638
200 Dos Dames,Finale A,5,TOUDICK Solene,2005,FRA,F,AMIENS METROPOLE NAT.,02:36.99,23/01/2022,928,632
200 Dos Dames,Séries,1,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,02:16.45,23/01/2022,1197,829
200 Dos Dames,Séries,2,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,02:26.36,23/01/2022,1063,725
200 Dos Dames,Séries,3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:27.62,23/01/2022,1046,713
200 Dos Dames,Séries,3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:27.62,23/01/2022,1046,713
200 Dos Dames,Séries,4,DOBRIN Alexandra,1993,ROU,F,DENAIN NAT. PORTE DU HAINAUT,02:27.85,23/01/2022,1043,711
200 Dos Dames,Séries,5,BIENFAIT Victorine,2007,FRA,F,RACING CLUB ARRAS,02:37.02,23/01/2022,927,632
200 Dos Dames,Séries,6,TOUDICK Solene,2005,FRA,F,AMIENS METROPOLE NAT.,02:37.58,23/01/2022,920,627
50 Brasse Dames,Finale A,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:32.68,22/01/2022,1223,721
50 Brasse Dames,Finale A,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:32.68,22/01/2022,1223,721
50 Brasse Dames,Finale A,2,DUPONT Zia,2002,FRA,F,ANGERS NATATION,00:34.10,22/01/2022,1146,634
50 Brasse Dames,Finale A,3,MERCIRIS Noemie,2007,FRA,F,AMIENS METROPOLE NAT.,00:35.68,22/01/2022,1063,554
50 Brasse Dames,Finale A,4,DELMOTTE Elodie,1999,FRA,F,DENAIN NAT. PORTE DU HAINAUT,00:36.01,22/01/2022,1046,539
50 Brasse Dames,Finale A,5,CERRI Amaryllis,2007,FRA,F,MARCQ NATATION,00:36.18,22/01/2022,1037,531
50 Brasse Dames,Finale A,6,QUINT Chloé,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,00:36.33,22/01/2022,1029,525
50 Brasse Dames,Finale A,7,CARLONE Serena,2007,FRA,F,RACING CLUB ARRAS,00:36.89,22/01/2022,1001,501
50 Brasse Dames,Finale A,8,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:37.24,22/01/2022,983,487
50 Brasse Dames,1/2 Finale (1),2,DUPONT Zia,2002,FRA,F,ANGERS NATATION,00:34.85,22/01/2022,1106,594
50 Brasse Dames,1/2 Finale (1),3,MERCIRIS Noemie,2007,FRA,F,AMIENS METROPOLE NAT.,00:35.82,22/01/2022,1055,547
50 Brasse Dames,1/2 Finale (1),5,DELMOTTE Elodie,1999,FRA,F,DENAIN NAT. PORTE DU HAINAUT,00:36.14,22/01/2022,1039,533
50 Brasse Dames,1/2 Finale (1),7,QUINT Chloé,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,00:36.61,22/01/2022,1015,513
50 Brasse Dames,1/2 Finale (1),8,CARLONE Serena,2007,FRA,F,RACING CLUB ARRAS,00:36.93,22/01/2022,999,499
50 Brasse Dames,1/2 Finale (1),11,CARNEL Julie,2006,FRA,F,BEAUVAISIS AQUATIC CLUB,00:37.42,22/01/2022,974,480
50 Brasse Dames,1/2 Finale (1),12,LE BAILLY Julie,2007,FRA,F,AMIENS METROPOLE NAT.,00:37.74,22/01/2022,959,468
50 Brasse Dames,1/2 Finale (1),16,BARBIER Lou,2006,FRA,F,AAE PÉRONNE,00:39.00,22/01/2022,898,424
50 Brasse Dames,1/2 Finale (2),1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:32.76,22/01/2022,1219,715
50 Brasse Dames,1/2 Finale (2),1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:32.76,22/01/2022,1219,715
50 Brasse Dames,1/2 Finale (2),4,CERRI Amaryllis,2007,FRA,F,MARCQ NATATION,00:36.05,22/01/2022,1043,537
50 Brasse Dames,1/2 Finale (2),6,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:36.54,22/01/2022,1019,516
50 Brasse Dames,1/2 Finale (2),9,FIEDLER Mathilde,2004,FRA,F,STADE DE REIMS NATATION,00:36.99,22/01/2022,996,497
50 Brasse Dames,1/2 Finale (2),10,MATON Lucie,2006,FRA,F,RACING CLUB ARRAS,00:37.32,22/01/2022,979,484
50 Brasse Dames,1/2 Finale (2),13,BERTRAND Laureane,2002,FRA,F,CN VOUZIERS,00:37.92,22/01/2022,950,461
50 Brasse Dames,1/2 Finale (2),14,BEAUCHART Angelina,2006,FRA,F,STADE DE REIMS NATATION,00:38.01,22/01/2022,945,458
50 Brasse Dames,1/2 Finale (2),15,DUSSART Melissa,2002,FRA,F,PELICAN CLUB DE VALENCIENNES,00:38.05,22/01/2022,944,457
50 Brasse Dames,Séries,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:33.18,22/01/2022,1196,689
50 Brasse Dames,Séries,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:33.18,22/01/2022,1196,689
50 Brasse Dames,Séries,2,DUPONT Zia,2002,FRA,F,ANGERS NATATION,00:34.57,22/01/2022,1121,609
50 Brasse Dames,Séries,3,CERRI Amaryllis,2007,FRA,F,MARCQ NATATION,00:36.27,22/01/2022,1032,527
50 Brasse Dames,Séries,4,DELMOTTE Elodie,1999,FRA,F,DENAIN NAT. PORTE DU HAINAUT,00:36.33,22/01/2022,1029,525
50 Brasse Dames,Séries,5,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:36.34,22/01/2022,1029,524
50 Brasse Dames,Séries,6,MERCIRIS Noemie,2007,FRA,F,AMIENS METROPOLE NAT.,00:36.45,22/01/2022,1023,519
50 Brasse Dames,Séries,7,MATON Lucie,2006,FRA,F,RACING CLUB ARRAS,00:36.61,22/01/2022,1015,513
50 Brasse Dames,Séries,8,QUINT Chloé,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,00:36.70,22/01/2022,1010,509
50 Brasse Dames,Séries,9,FIEDLER Mathilde,2004,FRA,F,STADE DE REIMS NATATION,00:37.02,22/01/2022,994,496
50 Brasse Dames,Séries,10,CARLONE Serena,2007,FRA,F,RACING CLUB ARRAS,00:37.35,22/01/2022,978,483
50 Brasse Dames,Séries,11,DUSSART Melissa,2002,FRA,F,PELICAN CLUB DE VALENCIENNES,00:37.64,22/01/2022,964,472
50 Brasse Dames,Séries,12,LE BAILLY Julie,2007,FRA,F,AMIENS METROPOLE NAT.,00:37.95,22/01/2022,948,460
50 Brasse Dames,Séries,13,BERTRAND Laureane,2002,FRA,F,CN VOUZIERS,00:37.99,22/01/2022,946,459
50 Brasse Dames,Séries,14,CARNEL Julie,2006,FRA,F,BEAUVAISIS AQUATIC CLUB,00:38.38,22/01/2022,928,445
50 Brasse Dames,Séries,15,BEAUCHART Angelina,2006,FRA,F,STADE DE REIMS NATATION,00:39.02,22/01/2022,897,423
50 Brasse Dames,Séries,16,BARBIER Lou,2006,FRA,F,AAE PÉRONNE,00:39.37,22/01/2022,880,412
50 Brasse Dames,Séries,17,DUBOIS Clemence,2005,FRA,F,MARCQ NATATION,00:39.47,22/01/2022,876,409
100 Brasse Dames,Finale A,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,01:12.09,23/01/2022,1202,802
100 Brasse Dames,Finale A,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,01:12.09,23/01/2022,1202,802
100 Brasse Dames,Finale A,2,DELMOTTE Elodie,1999,FRA,F,DENAIN NAT. PORTE DU HAINAUT,01:16.42,23/01/2022,1100,716
100 Brasse Dames,Finale A,3,CERRI Amaryllis,2007,FRA,F,MARCQ NATATION,01:17.96,23/01/2022,1065,688
100 Brasse Dames,Finale A,4,CARLONE Serena,2007,FRA,F,RACING CLUB ARRAS,01:18.01,23/01/2022,1064,687
100 Brasse Dames,Finale A,5,MATON Lucie,2006,FRA,F,RACING CLUB ARRAS,01:20.30,23/01/2022,1012,649
100 Brasse Dames,Finale A,6,QUINT Chloé,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,01:20.34,23/01/2022,1012,648
100 Brasse Dames,Finale A,7,FIEDLER Mathilde,2004,FRA,F,STADE DE REIMS NATATION,01:22.25,23/01/2022,970,618
100 Brasse Dames,Finale A,8,LE BAILLY Julie,2007,FRA,F,AMIENS METROPOLE NAT.,01:24.29,23/01/2022,926,588
100 Brasse Dames,Finale B,1,MERCIRIS Noemie,2007,FRA,F,AMIENS METROPOLE NAT.,01:19.47,23/01/2022,1031,662
100 Brasse Dames,Finale B,2,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,01:21.62,23/01/2022,984,628
100 Brasse Dames,Finale B,3,DUBOIS Clemence,2005,FRA,F,MARCQ NATATION,01:22.08,23/01/2022,974,621
100 Brasse Dames,Finale B,4,DUSSART Melissa,2002,FRA,F,PELICAN CLUB DE VALENCIENNES,01:22.44,23/01/2022,966,615
100 Brasse Dames,Finale B,5,CARNEL Julie,2006,FRA,F,BEAUVAISIS AQUATIC CLUB,01:23.17,23/01/2022,950,604
100 Brasse Dames,Finale B,6,BEAUCHART Angelina,2006,FRA,F,STADE DE REIMS NATATION,01:28.01,23/01/2022,849,538
100 Brasse Dames,Séries,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,01:12.54,23/01/2022,1191,792
100 Brasse Dames,Séries,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,01:12.54,23/01/2022,1191,792
100 Brasse Dames,Séries,2,DUPONT Zia,2002,FRA,F,ANGERS NATATION,01:16.59,23/01/2022,1096,712
100 Brasse Dames,Séries,3,DELMOTTE Elodie,1999,FRA,F,DENAIN NAT. PORTE DU HAINAUT,01:16.92,23/01/2022,1088,706
100 Brasse Dames,Séries,4,CERRI Amaryllis,2007,FRA,F,MARCQ NATATION,01:18.34,23/01/2022,1056,681
100 Brasse Dames,Séries,5,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,01:19.41,23/01/2022,1032,663
100 Brasse Dames,Séries,5,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,01:19.41,23/01/2022,1032,663
100 Brasse Dames,Séries,6,CARLONE Serena,2007,FRA,F,RACING CLUB ARRAS,01:19.97,23/01/2022,1020,654
100 Brasse Dames,Séries,7,QUINT Chloé,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,01:20.91,23/01/2022,999,639
100 Brasse Dames,Séries,8,MATON Lucie,2006,FRA,F,RACING CLUB ARRAS,01:21.18,23/01/2022,993,635
100 Brasse Dames,Séries,9,LE BAILLY Julie,2007,FRA,F,AMIENS METROPOLE NAT.,01:21.60,23/01/2022,984,628
100 Brasse Dames,Séries,10,FIEDLER Mathilde,2004,FRA,F,STADE DE REIMS NATATION,01:22.09,23/01/2022,973,620
100 Brasse Dames,Séries,11,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,01:22.11,23/01/2022,973,620
100 Brasse Dames,Séries,12,MERCIRIS Noemie,2007,FRA,F,AMIENS METROPOLE NAT.,01:22.29,23/01/2022,969,617
100 Brasse Dames,Séries,13,DUSSART Melissa,2002,FRA,F,PELICAN CLUB DE VALENCIENNES,01:22.54,23/01/2022,964,614
100 Brasse Dames,Séries,14,DUBOIS Clemence,2005,FRA,F,MARCQ NATATION,01:23.40,23/01/2022,945,601
100 Brasse Dames,Séries,15,CARNEL Julie,2006,FRA,F,BEAUVAISIS AQUATIC CLUB,01:23.77,23/01/2022,937,595
100 Brasse Dames,Séries,16,BERTRAND Laureane,2002,FRA,F,CN VOUZIERS,01:25.07,23/01/2022,910,577
100 Brasse Dames,Séries,17,BEAUCHART Angelina,2006,FRA,F,STADE DE REIMS NATATION,01:26.66,23/01/2022,877,556
200 Brasse Dames,Finale A,1,CARNEL Julie,2006,FRA,F,BEAUVAISIS AQUATIC CLUB,02:56.70,21/01/2022,945,621
200 Brasse Dames,Finale A,1,DUPONT Zia,2002,FRA,F,ANGERS NATATION,02:38.55,21/01/2022,1150,773
200 Brasse Dames,Finale A,2,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,02:38.75,21/01/2022,1148,771
200 Brasse Dames,Finale A,2,BEAUCHART Angelina,2006,FRA,F,STADE DE REIMS NATATION,03:02.21,21/01/2022,886,380
200 Brasse Dames,Finale A,2,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,02:38.75,21/01/2022,1148,771
200 Brasse Dames,Finale A,3,CERRI Amaryllis,2007,FRA,F,MARCQ NATATION,02:47.27,21/01/2022,1049,694
200 Brasse Dames,Finale A,3,MAUPETIT Constance,2005,FRA,F,P.V GRANDVILLIERS NATATION,03:17.76,21/01/2022,731,327
200 Brasse Dames,Finale A,4,CARLONE Serena,2007,FRA,F,RACING CLUB ARRAS,02:48.72,21/01/2022,1032,682
200 Brasse Dames,Finale A,5,MATON Lucie,2006,FRA,F,RACING CLUB ARRAS,02:55.73,21/01/2022,955,628
200 Brasse Dames,Finale A,6,DUBOIS Clemence,2005,FRA,F,MARCQ NATATION,02:57.14,21/01/2022,940,617
200 Brasse Dames,Finale A,7,LE BAILLY Julie,2007,FRA,F,AMIENS METROPOLE NAT.,03:01.11,21/01/2022,898,384
200 Brasse Dames,Séries,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,02:39.56,21/01/2022,1138,763
200 Brasse Dames,Séries,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,02:39.56,21/01/2022,1138,763
200 Brasse Dames,Séries,2,DUPONT Zia,2002,FRA,F,ANGERS NATATION,02:41.25,21/01/2022,1118,748
200 Brasse Dames,Séries,3,CERRI Amaryllis,2007,FRA,F,MARCQ NATATION,02:49.46,21/01/2022,1024,676
200 Brasse Dames,Séries,4,CARLONE Serena,2007,FRA,F,RACING CLUB ARRAS,02:49.48,21/01/2022,1024,676
200 Brasse Dames,Séries,5,MATON Lucie,2006,FRA,F,RACING CLUB ARRAS,02:55.78,21/01/2022,954,627
200 Brasse Dames,Séries,6,JARILLOT Léa,2006,FRA,F,CANETON CLUB DE BEAUMONT,02:57.59,21/01/2022,935,614
200 Brasse Dames,Séries,7,DUBOIS Clemence,2005,FRA,F,MARCQ NATATION,02:58.22,21/01/2022,928,610
200 Brasse Dames,Séries,8,LE BAILLY Julie,2007,FRA,F,AMIENS METROPOLE NAT.,02:58.75,21/01/2022,923,606
200 Brasse Dames,Séries,9,CARNEL Julie,2006,FRA,F,BEAUVAISIS AQUATIC CLUB,02:59.54,21/01/2022,914,600
200 Brasse Dames,Séries,10,BEAUCHART Angelina,2006,FRA,F,STADE DE REIMS NATATION,03:02.79,21/01/2022,880,378
200 Brasse Dames,Séries,11,MAUPETIT Constance,2005,FRA,F,P.V GRANDVILLIERS NATATION,03:12.79,21/01/2022,779,343
50 Papillon Dames,Finale A,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:27.77,21/01/2022,1227,681
50 Papillon Dames,Finale A,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:27.77,21/01/2022,1227,681
50 Papillon Dames,Finale A,2,PRUVOT Mathilde,2005,FRA,F,AMIENS METROPOLE NAT.,00:27.80,21/01/2022,1225,679
50 Papillon Dames,Finale A,3,FREULON Lillie,2006,FRA,F,DUMBEA NATATION,00:28.34,21/01/2022,1189,641
50 Papillon Dames,Finale A,4,PORTEMAN Heloïse,2003,FRA,F,P.V GRANDVILLIERS NATATION,00:29.78,21/01/2022,1097,552
50 Papillon Dames,Finale A,5,MERCIRIS Noemie,2007,FRA,F,AMIENS METROPOLE NAT.,00:29.88,21/01/2022,1091,547
50 Papillon Dames,Finale A,6,HANRAS Tiphaine,2000,FRA,F,AMIENS METROPOLE NAT.,00:30.07,21/01/2022,1079,536
50 Papillon Dames,Finale A,7,LANGUE Camille,2005,FRA,F,SC ABBEVILLOIS NATATION TRIATHLON,00:30.19,21/01/2022,1071,530
50 Papillon Dames,Finale A,8,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:30.46,21/01/2022,1055,516
50 Papillon Dames,1/2 Finale (1),2,FREULON Lillie,2006,FRA,F,DUMBEA NATATION,00:28.49,21/01/2022,1179,631
50 Papillon Dames,1/2 Finale (1),4,PORTEMAN Heloïse,2003,FRA,F,P.V GRANDVILLIERS NATATION,00:29.82,21/01/2022,1094,550
50 Papillon Dames,1/2 Finale (1),7,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:30.32,21/01/2022,1063,523
50 Papillon Dames,1/2 Finale (1),9,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,00:30.62,21/01/2022,1045,508
50 Papillon Dames,1/2 Finale (1),10,TOUDICK Solene,2005,FRA,F,AMIENS METROPOLE NAT.,00:30.79,21/01/2022,1035,500
50 Papillon Dames,1/2 Finale (1),11,DUSSART Priscillia,2005,FRA,F,PELICAN CLUB DE VALENCIENNES,00:30.95,21/01/2022,1025,492
50 Papillon Dames,1/2 Finale (1),14,MUYLLE Cloé,2005,FRA,F,MARCQ NATATION,00:31.54,21/01/2022,989,465
50 Papillon Dames,1/2 Finale (1),15,VERDIER Lisa,2006,FRA,F,MARCQ NATATION,00:31.65,21/01/2022,983,460
50 Papillon Dames,1/2 Finale (2),1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:28.14,21/01/2022,1202,654
50 Papillon Dames,1/2 Finale (2),1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:28.14,21/01/2022,1202,654
50 Papillon Dames,1/2 Finale (2),3,PRUVOT Mathilde,2005,FRA,F,AMIENS METROPOLE NAT.,00:29.00,21/01/2022,1146,598
50 Papillon Dames,1/2 Finale (2),5,MERCIRIS Noemie,2007,FRA,F,AMIENS METROPOLE NAT.,00:30.09,21/01/2022,1078,535
50 Papillon Dames,1/2 Finale (2),6,LANGUE Camille,2005,FRA,F,SC ABBEVILLOIS NATATION TRIATHLON,00:30.18,21/01/2022,1072,530
50 Papillon Dames,1/2 Finale (2),8,HANRAS Tiphaine,2000,FRA,F,AMIENS METROPOLE NAT.,00:30.42,21/01/2022,1057,518
50 Papillon Dames,1/2 Finale (2),12,LEVEAUX Enola,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,00:31.23,21/01/2022,1008,479
50 Papillon Dames,1/2 Finale (2),13,BIENFAIT Victorine,2007,FRA,F,RACING CLUB ARRAS,00:31.53,21/01/2022,990,465
50 Papillon Dames,1/2 Finale (2),16,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,00:31.75,21/01/2022,977,456
50 Papillon Dames,Séries,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:28.15,21/01/2022,1202,654
50 Papillon Dames,Séries,1,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,00:28.15,21/01/2022,1202,654
50 Papillon Dames,Séries,2,FREULON Lillie,2006,FRA,F,DUMBEA NATATION,00:28.47,21/01/2022,1181,632
50 Papillon Dames,Séries,3,PRUVOT Mathilde,2005,FRA,F,AMIENS METROPOLE NAT.,00:28.60,21/01/2022,1172,623
50 Papillon Dames,Séries,4,PORTEMAN Heloïse,2003,FRA,F,P.V GRANDVILLIERS NATATION,00:29.82,21/01/2022,1094,550
50 Papillon Dames,Séries,5,LANGUE Camille,2005,FRA,F,SC ABBEVILLOIS NATATION TRIATHLON,00:30.02,21/01/2022,1082,539
50 Papillon Dames,Séries,6,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,00:30.11,21/01/2022,1076,534
50 Papillon Dames,Séries,7,HANRAS Tiphaine,2000,FRA,F,AMIENS METROPOLE NAT.,00:30.34,21/01/2022,1062,522
50 Papillon Dames,Séries,8,DUSSART Priscillia,2005,FRA,F,PELICAN CLUB DE VALENCIENNES,00:30.58,21/01/2022,1047,510
50 Papillon Dames,Séries,9,MERCIRIS Noemie,2007,FRA,F,AMIENS METROPOLE NAT.,00:30.79,21/01/2022,1035,500
50 Papillon Dames,Séries,10,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:30.98,21/01/2022,1023,490
50 Papillon Dames,Séries,11,BONNET Eva,2000,BEL,F,DENAIN NAT. PORTE DU HAINAUT,00:31.08,21/01/2022,1017,486
50 Papillon Dames,Séries,12,BIENFAIT Victorine,2007,FRA,F,RACING CLUB ARRAS,00:31.20,21/01/2022,1010,480
50 Papillon Dames,Séries,13,VERDIER Lisa,2006,FRA,F,MARCQ NATATION,00:31.28,21/01/2022,1005,476
